,MapRefNo,GrLivArea,SalePrice,MSSubClass,MSZoning,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,TotalSF,Price/SF,BsmtPercentUnfinished,LowQualFinishedPercent,TotalAuxSF,relativeAuxSF,Price/AuxSF,SchD_S,GLA,LndAc_S,Ext1,OthAc_S,ImpAc_S,ValType,NmbrBRs,Rcrd_Yr,GarYrBlt,TtlBsmtSF,TxD_S,YrBuilt,PA-Strt,PA-StSfx,Central Air,Source,AcreNt_S,Ext2,TtlVal_AsrYr,PA-Nmbr,AcreGr,Rcrd_Mo,Cars,Date
112,528118050,2290,500067,20,RL,17169,Pave,IR2,Lvl,AllPub,CulDSac,Gtl,NridgHt,Norm,Norm,1Fam,1Story,10,5,2007,2007,Hip,CompShg,CemntBd,CmentBd,BrkFace,970.0,Ex,TA,PConc,Ex,TA,Av,GLQ,1684.0,Unf,0.0,636.0,2320.0,GasA,Ex,Y,SBrkr,2290,0,0,2.0,0.0,2,1,2,1,Ex,7,Typ,1,Attchd,2007.0,Fin,3.0,1174.0,TA,TA,Y,192,30,0,0,0,0,0,8,2007,New,Partial,4610.0,108.47440347071584,0.27413793103448275,0.0,18373.0,7696.511627906977,27.217493060469167,5,2290.0,131200,CemntBd,393600,0,F,2.0,2007.0,2007.0,2320.0,45,2007.0,PRESTON,CIR,Yes,Ames City Assessor,0.0,CmentBd,524800,3305.0,0.0,8.0,3.0,10-Jul-20
113,904300150,1224,107500,50,RL,10632,Pave,IR1,Lvl,AllPub,Inside,Gtl,ClearCr,Norm,Norm,1Fam,1.5Fin,5,3,1917,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,Gd,Fa,No,Unf,0.0,Unf,0.0,689.0,689.0,GasA,Gd,N,SBrkr,725,499,0,0.0,0.0,1,1,3,1,Po,6,Mod,0,Detchd,1917.0,Unf,1.0,180.0,Fa,Fa,N,0,0,248,0,0,0,0,1,2010,COD,Normal,1913.0,56.19445896497648,1.0,0.0,11060.0,383.5116279069771,9.719710669077758,1,1284.0,33400,Wd Sdng,100000,0,F,3.0,2013.0,1917.0,689.0,1,1917.0,OAKLAND,ST,Yes,Ames City Assessor,0.0,Wd Sdng,133400,3021,0.0,5.0,1.0,10-Jul-20
114,533236050,1739,172500,160,FV,2645,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,Gd,TA,PConc,Gd,TA,No,GLQ,649.0,Unf,0.0,321.0,970.0,GasA,Ex,Y,SBrkr,983,756,0,1.0,0.0,2,1,3,1,Gd,7,Typ,0,Attchd,1999.0,Fin,2.0,480.0,TA,TA,Y,115,0,0,0,0,0,0,8,2009,WD ,Abnorml,2709.0,63.67663344407531,0.3309278350515464,0.0,3125.0,-7551.488372093023,55.2,1,1739.0,57800,MetalSd,173300,0,B,3.0,2018.0,1999.0,970.0,1,1999.0,BRISTOL,DR,Yes,Ames City Assessor,0.0,MetalSd,231100,2510.0,0.0,1.0,2.0,10-Jul-20
115,527354160,2044,185000,60,RL,10400,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,7,6,1980,1988,Gable,CompShg,HdBoard,HdBoard,BrkFace,280.0,TA,TA,CBlock,Gd,TA,Mn,Unf,0.0,Unf,0.0,738.0,738.0,GasA,TA,Y,SBrkr,1277,767,0,0.0,0.0,2,1,3,1,TA,7,Min1,1,Attchd,1980.0,Unf,2.0,489.0,TA,TA,Y,28,73,0,0,0,0,0,3,2008,WD ,Normal,2782.0,66.49892163910856,1.0,0.0,10962.0,285.5116279069771,16.876482393723773,1,2044.0,59100,HdBoard,177200,0,F,3.0,2015.0,1980.0,738.0,1,1980.0,STEVENSON,DR,Yes,Ames City Assessor,0.0,HdBoard,236300,2009.0,0.0,6.0,2.0,10-Jul-20
116,528435040,1726,311872,20,RL,9416,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,2007,2007,Hip,CompShg,CemntBd,CmentBd,Stone,205.0,Ex,TA,PConc,Ex,TA,No,GLQ,1126.0,Unf,0.0,600.0,1726.0,GasA,Ex,Y,SBrkr,1726,0,0,1.0,0.0,2,0,3,1,Ex,8,Typ,1,Attchd,2007.0,Fin,3.0,786.0,TA,TA,Y,171,138,0,0,266,0,0,9,2007,New,Partial,3452.0,90.34530706836617,0.34762456546929316,0.0,10606.0,-70.48837209302292,29.405242315670375,1,1719.0,90300,VinylSd,270700,0,F,3.0,2015.0,2007.0,1857.0,1,2007.0,DALTON,ST,Yes,Ames City Assessor,0.0,VinylSd,361000,2604.0,0.0,5.0,3.0,10-Jul-20
117,534129230,1790,165150,60,RL,10400,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,6,5,1972,1972,Gable,CompShg,VinylSd,VinylSd,None,288.0,TA,TA,CBlock,TA,TA,No,Rec,247.0,Unf,0.0,485.0,732.0,GasA,Gd,Y,SBrkr,1012,778,0,1.0,0.0,1,2,4,1,TA,8,Min2,1,Attchd,1972.0,RFn,2.0,484.0,TA,TA,Y,148,0,0,0,147,0,0,11,2006,WD ,Normal,2522.0,65.48374306106265,0.662568306010929,0.0,11031.0,354.5116279069771,14.971444112047864,1,1790.0,51400,VinylSd,154000,0,F,4.0,2006.0,1972.0,732.0,1,1972.0,HOOVER,AVE,Yes,Ames City Assessor,0.0,VinylSd,205400,2705.0,0.0,11.0,2.0,10-Jul-20
118,535325350,1056,125000,20,RL,13600,Pave,Reg,Bnk,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1955,1955,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,144.0,BLQ,912.0,0.0,1056.0,GasA,Gd,Y,SBrkr,1056,0,0,1.0,0.0,1,1,3,1,TA,6,Typ,0,Attchd,1955.0,Fin,1.0,300.0,TA,TA,Y,0,0,0,0,0,0,650,11,2006,WD ,Normal,2112.0,59.18560606060606,0.0,0.0,13900.0,3223.511627906977,8.992805755395683,1,1056.0,47300,HdBoard,142000,0,F,3.0,2018.0,1955.0,1056.0,1,1955.0,16TH,ST,Yes,Ames City Assessor,0.0,HdBoard,189300,225.0,0.0,8.0,1.0,10-Jul-20
119,902408080,2554,159500,70,RM,10800,Pave,Reg,Bnk,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,7,8,1890,1998,Gable,CompShg,Wd Sdng,VinylSd,None,0.0,TA,Gd,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,718.0,718.0,GasA,Ex,Y,SBrkr,1576,978,0,0.0,0.0,1,1,3,1,TA,8,Typ,0,Detchd,1996.0,Unf,2.0,704.0,TA,TA,P,0,48,143,0,0,0,0,7,2007,WD ,Normal,3272.0,48.74694376528117,1.0,0.0,11695.0,1018.5116279069771,13.638306968790081,1,2554.0,50000,Wd Sdng,150100,0,P,3.0,2013.0,1996.0,718.0,1,1890.0,CARROLL,AVE,Yes,Ames City Assessor,0.0,VinylSd,200100,508,0.0,12.0,2.0,10-Jul-20
120,916455050,1312,180500,20,RL,6718,Pave,IR1,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,8,5,2001,2001,Gable,CompShg,VinylSd,VinylSd,BrkFace,86.0,Gd,TA,PConc,Ex,TA,Mn,GLQ,250.0,Unf,0.0,1017.0,1267.0,GasA,Ex,Y,SBrkr,1312,0,0,0.0,0.0,2,0,2,1,Gd,5,Typ,0,Attchd,2001.0,Unf,2.0,471.0,TA,TA,Y,256,28,0,0,0,0,0,1,2007,WD ,Normal,2579.0,69.98836758433501,0.8026835043409629,0.0,7217.0,-3459.488372093023,25.010392129693777,1,1312.0,57900,VinylSd,173700,0,F,2.0,2017.0,2001.0,1267.0,1,2001.0,WHITE OAK,DR,Yes,Ames City Assessor,0.0,VinylSd,231600,2829,0.0,5.0,2.0,10-Jul-20
121,909276200,1308,160000,50,RL,9600,Pave,IR1,HLS,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1.5Fin,5,7,1940,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,Gd,Gd,BrkTil,TA,Fa,No,Rec,428.0,Unf,0.0,300.0,728.0,GasA,Ex,Y,SBrkr,976,332,0,1.0,0.0,1,1,2,1,TA,7,Min2,2,Detchd,1940.0,Unf,1.0,256.0,TA,TA,Y,0,70,0,0,0,0,0,6,2009,WD ,Normal,2036.0,78.58546168958743,0.41208791208791207,0.0,9926.0,-750.4883720930229,16.11928269192021,1,1308.0,54900,MetalSd,164700,0,F,2.0,2009.0,1940.0,728.0,1,1940.0,PEARSON,AVE,Yes,Ames City Assessor,0.0,MetalSd,219600,418,0.0,6.0,1.0,10-Jul-20
122,534277060,907,109008,20,RL,8593,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,6,1957,1957,Hip,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,288.0,Unf,0.0,619.0,907.0,GasA,Ex,Y,SBrkr,907,0,0,0.0,0.0,1,0,3,1,TA,5,Typ,0,Detchd,1964.0,Unf,1.0,352.0,TA,TA,Y,0,0,0,0,0,0,0,7,2008,WD ,Normal,1814.0,60.09261300992282,0.6824696802646086,0.0,8945.0,-1731.488372093023,12.186472889882616,1,888.0,36900,VinylSd,110600,0,F,3.0,2019.0,1964.0,888.0,1,1957.0,FURMAN,DR,Yes,Ames City Assessor,0.0,VinylSd,147500,2125.0,0.0,7.0,1.0,10-Jul-20
123,905107280,1034,153000,85,RL,7703,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,SFoyer,6,8,1978,1978,Gable,CompShg,HdBoard,HdBoard,BrkCmn,40.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,450.0,Unf,0.0,0.0,450.0,GasA,Ex,Y,SBrkr,1034,0,0,0.0,1.0,1,0,3,1,TA,6,Typ,1,Basment,1978.0,Fin,2.0,504.0,TA,TA,Y,311,0,0,0,0,0,0,5,2008,WD ,Normal,1484.0,103.09973045822102,0.0,0.0,8207.0,-2469.488372093023,18.642622151821616,1,1034.0,43100,HdBoard,129100,0,F,3.0,2020.0,1978.0,450.0,1,1978.0,ARKANSAS,DR,Yes,Ames City Assessor,0.0,HdBoard,172200,3914,0.0,5.0,2.0,10-Jul-20
124,923204050,1040,132250,20,RL,25286,Pave,Reg,HLS,AllPub,Inside,Mod,Mitchel,Norm,Norm,1Fam,1Story,4,5,1963,1963,Gable,CompShg,HdBoard,Plywood,None,0.0,TA,TA,PConc,TA,TA,Gd,ALQ,633.0,Unf,0.0,431.0,1064.0,GasA,Gd,Y,SBrkr,1040,0,0,1.0,0.0,1,0,3,1,TA,5,Typ,0,Attchd,1963.0,Unf,2.0,648.0,TA,TA,Y,0,0,0,0,0,0,0,1,2007,WD ,Normal,2104.0,62.856463878327,0.4050751879699248,0.0,25934.0,15257.511627906977,5.099483303771112,1,1280.0,51800,Plywood,155500,0,F,3.0,2018.0,1963.0,1064.0,1,1963.0,SOUTHDALE,DR,Yes,Ames City Assessor,0.0,Plywood,207300,3309,0.0,12.0,2.0,10-Jul-20
125,531376050,1585,184900,60,RL,7632,Pave,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,96.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,784.0,784.0,GasA,Ex,Y,SBrkr,831,754,0,0.0,0.0,2,1,3,1,Gd,7,Typ,0,Attchd,2005.0,RFn,2.0,449.0,TA,TA,Y,100,77,0,0,0,0,0,3,2006,WD ,Normal,2369.0,78.0498100464331,1.0,0.0,8158.0,-2518.488372093023,22.66486884040206,1,1585.0,52400,VinylSd,157100,0,F,3.0,2012.0,2005.0,818.0,1,2005.0,CALIFORNIA,AVE,Yes,Ames City Assessor,0.0,VinylSd,209500,1508.0,0.0,11.0,2.0,10-Jul-20
127,906412010,2276,475000,20,RL,11778,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,9,5,2008,2008,Hip,CompShg,VinylSd,VinylSd,Stone,554.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,2085.0,Unf,0.0,186.0,2271.0,GasA,Ex,Y,SBrkr,2276,0,0,1.0,0.0,2,0,3,1,Ex,7,Typ,2,Attchd,2008.0,RFn,3.0,1348.0,Gd,TA,Y,0,0,70,0,255,0,0,6,2008,WD ,Abnorml,4547.0,104.46448207609413,0.08190224570673713,0.0,13451.0,2774.511627906977,35.313359601516616,1,2276.0,122500,VinylSd,367400,0,F,3.0,2008.0,2008.0,2271.0,1,2008.0,WESTFIELD,RD,Yes,Ames City Assessor,0.0,VinylSd,489900,532,0.0,6.0,3.0,10-Jul-20
128,535301060,1154,142000,20,RL,11556,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,9,1953,2006,Gable,CompShg,VinylSd,MetalSd,None,0.0,TA,Ex,CBlock,TA,TA,No,BLQ,408.0,Unf,0.0,456.0,864.0,GasA,Gd,Y,SBrkr,1154,0,0,0.0,0.0,1,1,3,1,Ex,6,Typ,0,Detchd,1962.0,Unf,1.0,336.0,TA,TA,Y,63,0,0,0,0,0,0,7,2007,WD ,Normal,2018.0,70.36669970267592,0.5277777777777778,0.0,11892.0,1215.511627906977,11.940800538176926,1,1154.0,50400,MetalSd,151100,0,F,3.0,2015.0,1962.0,864.0,1,1953.0,CLARK,AVE,Yes,Ames City Assessor,0.0,MetalSd,201500,1907.0,0.0,2.0,1.0,10-Jul-20
129,534453080,808,112000,20,RL,5175,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,RRAn,Feedr,1Fam,1Story,5,8,1958,2000,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,150.0,ALQ,404.0,254.0,808.0,GasA,Ex,Y,SBrkr,808,0,0,0.0,0.0,1,0,2,1,TA,5,Typ,0,Detchd,1963.0,Unf,1.0,308.0,TA,TA,N,143,0,0,0,0,0,0,7,2007,COD,Normal,1616.0,69.3069306930693,0.31435643564356436,0.0,5483.0,-5193.488372093023,20.426773664052526,1,808.0,33100,VinylSd,99100,0,F,2.0,2014.0,1963.0,808.0,1,1958.0,RIDGEWOOD,AVE,Yes,Ames City Assessor,0.0,VinylSd,132200,1430.0,0.0,4.0,1.0,10-Jul-20
130,911102180,1049,80900,50,C (all),5150,Pave,Reg,Lvl,AllPub,Corner,Gtl,IDOTRR,Feedr,Norm,1Fam,1.5Fin,4,7,1910,2000,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,PConc,Po,TA,No,Unf,0.0,Unf,0.0,356.0,356.0,GasA,TA,N,FuseA,671,378,0,0.0,0.0,1,0,2,1,TA,5,Typ,0,Detchd,1910.0,Unf,1.0,195.0,Po,Fa,N,0,0,0,0,0,0,0,5,2008,WD ,Normal,1405.0,57.580071174377224,1.0,0.0,5345.0,-5331.488372093023,15.135640785781105,1,1049.0,21900,Plywood,65600,0,F,2.0,2014.0,1910.0,356.0,1,1910.0,WALNUT,AVE,No,Ames City Assessor,0.0,Plywood,87500,202,0.0,11.0,1.0,10-Jul-20
131,535403210,1105,135000,20,RL,10454,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1957,1957,Hip,CompShg,Plywood,Plywood,Stone,143.0,TA,TA,CBlock,TA,TA,No,Rec,546.0,Unf,0.0,559.0,1105.0,GasA,Gd,Y,FuseA,1105,0,0,0.0,0.0,1,0,3,1,TA,5,Typ,0,Detchd,1957.0,Unf,1.0,308.0,TA,TA,Y,0,0,0,0,0,0,0,4,2009,WD ,Normal,2210.0,61.085972850678736,0.5058823529411764,0.0,10762.0,85.51162790697708,12.54413677755064,1,1105.0,44300,Plywood,132800,0,F,3.0,2019.0,1957.0,1105.0,1,1957.0,CARROLL,AVE,Yes,Ames City Assessor,0.0,Plywood,177100,1604.0,0.0,7.0,1.0,10-Jul-20
132,531382120,1679,193500,20,RL,8125,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,6,5,1994,1998,Gable,CompShg,HdBoard,HdBoard,BrkFace,258.0,TA,TA,PConc,Gd,TA,No,GLQ,1138.0,Unf,0.0,270.0,1408.0,GasA,Ex,Y,SBrkr,1679,0,0,1.0,0.0,2,0,3,1,Gd,7,Typ,1,Attchd,1994.0,RFn,2.0,575.0,TA,TA,Y,224,42,0,0,0,0,0,10,2008,WD ,Normal,3087.0,62.68221574344023,0.19176136363636365,0.0,8742.0,-1934.488372093023,22.13452299245024,1,1679.0,56500,HdBoard,169500,0,B,3.0,2016.0,1994.0,1408.0,1,1994.0,MARYLAND,ST,Yes,Ames City Assessor,0.0,HdBoard,226000,5214.0,0.0,11.0,2.0,10-Jul-20
133,916455120,1440,232500,20,RL,11202,Pave,IR1,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,8,5,2003,2003,Hip,CompShg,VinylSd,VinylSd,BrkFace,206.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1029.0,Unf,0.0,403.0,1432.0,GasA,Ex,Y,SBrkr,1440,0,0,1.0,0.0,2,0,3,1,Gd,7,Typ,1,Attchd,2003.0,Fin,2.0,467.0,TA,TA,Y,185,95,0,0,0,0,0,6,2008,WD ,Normal,2872.0,80.95403899721448,0.2814245810055866,0.0,11764.0,1087.511627906977,19.76368582114927,1,1440.0,73100,VinylSd,219100,0,F,3.0,2012.0,2003.0,1432.0,1,2003.0,SUNCREST,DR,Yes,Ames City Assessor,0.0,VinylSd,292200,2311,0.0,3.0,2.0,10-Jul-20
134,905475510,1298,114000,20,RL,11200,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,3,1964,1964,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,Fa,CBlock,TA,TA,Mn,Unf,0.0,Unf,0.0,1250.0,1250.0,GasA,Ex,Y,SBrkr,1298,0,0,0.0,0.0,2,0,3,1,TA,5,Typ,0,Detchd,1964.0,Unf,2.0,504.0,TA,Fa,N,0,144,0,0,0,0,0,6,2010,COD,Normal,2548.0,44.740973312401884,1.0,0.0,11848.0,1171.511627906977,9.621877110060769,1,1298.0,43500,Wd Sdng,130300,0,F,3.0,2020.0,1964.0,1250.0,1,1964.0,COLORADO,CIR,Yes,Ames City Assessor,0.0,Wd Sdng,173800,310,0.0,6.0,2.0,10-Jul-20
135,916326090,2279,257000,20,RL,19958,Pave,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,6,8,1958,1995,Hip,CompShg,HdBoard,HdBoard,BrkFace,1224.0,TA,Gd,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,585.0,585.0,GasA,Gd,Y,SBrkr,2279,0,0,0.0,0.0,2,1,4,1,Gd,7,Typ,1,Attchd,1958.0,RFn,2.0,461.0,TA,TA,Y,274,0,0,0,138,0,0,7,2007,WD ,Normal,2864.0,89.73463687150839,1.0,0.0,20557.0,9880.511627906977,12.50182419613757,1,2279.0,73600,HdBoard,220700,0,F,4.0,2015.0,1958.0,585.0,1,1958.0,TIMBERLAND,RD,Yes,Ames City Assessor,0.0,HdBoard,294300,2320,0.0,2.0,3.0,10-Jul-20
136,909101140,1604,117000,50,RL,10998,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,5,1941,1960,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,408.0,BLQ,420.0,156.0,984.0,GasA,Ex,Y,SBrkr,984,620,0,0.0,0.0,2,0,3,1,TA,6,Min2,0,Detchd,1977.0,Unf,2.0,660.0,TA,TA,Y,0,68,0,0,0,0,0,7,2009,WD ,Normal,2588.0,45.20865533230294,0.15853658536585366,0.0,11726.0,1049.511627906977,9.977827050997783,1,1604.0,42400,Wd Sdng,127200,0,F,3.0,2012.0,1977.0,984.0,1,1941.0,WOOD,ST,Yes,Ames City Assessor,0.0,Wd Sdng,169600,2812,0.0,8.0,2.0,10-Jul-20
137,907260050,1932,213000,60,RL,8749,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,654.0,Unf,0.0,325.0,979.0,GasA,Ex,Y,SBrkr,992,940,0,1.0,0.0,2,1,3,1,Gd,7,Typ,1,Attchd,2003.0,RFn,2.0,610.0,TA,TA,Y,0,120,0,0,0,0,0,6,2007,WD ,Normal,2911.0,73.17073170731707,0.3319713993871297,0.0,9479.0,-1197.488372093023,22.47072475999578,1,1932.0,69400,VinylSd,208000,0,F,3.0,2014.0,2003.0,979.0,1,2003.0,CLEMENS,BLVD,Yes,Ames City Assessor,0.0,VinylSd,277400,5110,0.0,7.0,2.0,10-Jul-20
138,907131090,1661,212000,60,RL,10667,Pave,IR2,Lvl,AllPub,CulDSac,Gtl,CollgCr,PosN,Norm,1Fam,2Story,7,6,1996,1996,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,385.0,ALQ,344.0,70.0,799.0,GasA,Ex,Y,SBrkr,827,834,0,1.0,0.0,2,1,3,1,Gd,6,Typ,1,Attchd,1996.0,RFn,2.0,550.0,TA,TA,Y,158,61,0,0,0,0,0,4,2009,ConLw,Normal,2460.0,86.17886178861788,0.08760951188986232,0.0,11278.0,601.5116279069771,18.79765915942543,1,1661.0,62600,VinylSd,187700,0,F,3.0,2009.0,1996.0,799.0,1,1996.0,NORRIS,ST,Yes,Ames City Assessor,0.0,VinylSd,250300,5300,0.0,8.0,2.0,10-Jul-20
139,903206160,1827,202500,70,RL,11737,Pave,IR1,Bnk,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,2Story,6,7,1924,1996,Gambrel,CompShg,BrkComm,Stucco,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,848.0,848.0,GasW,TA,N,SBrkr,1017,810,0,0.0,0.0,1,0,2,1,TA,9,Typ,1,Detchd,1943.0,Unf,1.0,240.0,Fa,TA,Y,27,36,42,0,0,0,0,5,2006,WD ,Normal,2675.0,75.70093457943925,1.0,0.0,12055.0,1378.511627906977,16.798009124844462,1,1827.0,58400,BrkComm,175000,0,F,2.0,2006.0,1943.0,848.0,1,1924.0,BROOKRIDGE,AVE,Yes,Ames City Assessor,0.0,Stucco,233400,910,0.0,5.0,1.0,10-Jul-20
140,528222020,1492,185101,60,RL,9073,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,738.0,738.0,GasA,Ex,Y,SBrkr,738,754,0,0.0,0.0,2,1,3,1,Gd,8,Typ,0,Attchd,2006.0,Fin,2.0,440.0,TA,TA,Y,100,32,0,0,0,0,0,10,2006,New,Partial,2230.0,83.00493273542601,1.0,0.0,9545.0,-1131.488372093023,19.392456783656364,5,1492.0,59800,VinylSd,179300,0,F,3.0,2018.0,2006.0,738.0,45,2006.0,WELBECK,DR,Yes,Ames City Assessor,0.0,VinylSd,239100,4116.0,0.0,11.0,2.0,10-Jul-20
141,526352090,1277,167000,20,RL,10628,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,5,1970,1970,Flat,Tar&Grv,Plywood,Plywood,None,0.0,TA,Gd,CBlock,TA,Gd,Gd,GLQ,778.0,Unf,0.0,499.0,1277.0,GasA,TA,Y,SBrkr,1277,0,0,1.0,0.0,1,0,2,1,TA,5,Typ,1,Attchd,1970.0,Unf,2.0,526.0,TA,TA,Y,0,0,0,0,176,0,0,4,2007,WD ,Normal,2554.0,65.3876272513704,0.39075959279561473,0.0,11330.0,653.5116279069771,14.739629302736098,1,1277.0,51200,Plywood,153600,0,F,2.0,2016.0,1970.0,1277.0,1,1970.0,KELLOGG,AVE,Yes,Ames City Assessor,0.0,Plywood,204800,3010.0,0.0,4.0,2.0,10-Jul-20
142,534201280,1052,138500,20,RL,8400,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,1Story,5,5,1968,1968,Hip,CompShg,HdBoard,HdBoard,BrkFace,168.0,TA,TA,CBlock,TA,TA,Av,BLQ,1016.0,Unf,0.0,36.0,1052.0,GasA,Gd,Y,SBrkr,1052,0,0,1.0,0.0,1,1,3,1,TA,5,Typ,0,Attchd,1968.0,RFn,1.0,288.0,TA,TA,Y,356,0,0,0,0,0,0,11,2006,WD ,Normal,2104.0,65.82699619771863,0.034220532319391636,0.0,8688.0,-1988.488372093023,15.941528545119706,1,1052.0,40200,HdBoard,120400,0,F,3.0,2015.0,1968.0,1052.0,1,1968.0,24TH,ST,Yes,Ames City Assessor,0.0,HdBoard,160600,1237.0,0.0,8.0,1.0,10-Jul-20
143,908102330,1220,102000,20,RL,8877,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,4,5,1951,1951,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,Fa,Fa,No,LwQ,836.0,Unf,0.0,0.0,836.0,GasA,TA,Y,FuseF,1220,0,0,0.0,0.0,1,0,2,1,TA,6,Typ,0,Detchd,1951.0,Unf,2.0,396.0,TA,TA,Y,0,0,0,0,0,0,0,4,2006,COD,Normal,2056.0,49.61089494163424,0.0,0.0,9273.0,-1403.488372093023,10.999676480103526,1,1220.0,40200,Wd Sdng,120700,0,F,2.0,2019.0,1951.0,836.0,1,1951.0,ABRAHAM,DR,Yes,Ames City Assessor,0.0,Wd Sdng,160900,301,0.0,8.0,2.0,10-Jul-20
